iter	Passed	Remaining
0	145	72820
1	156	38945
2	167	27785
3	179	22234
4	189	18803
5	199	16436
6	211	14908
7	222	13698
8	232	12693
9	244	11996
10	252	11231
11	258	10520
12	263	9878
13	269	9347
14	273	8843
15	277	8402
16	284	8070
17	288	7713
18	291	7387
19	295	7092
20	300	6847
21	303	6601
22	307	6381
23	311	6186
24	316	6008
25	320	5834
26	323	5675
27	328	5534
28	332	5397
29	337	5291
30	341	5171
31	346	5064
32	350	4961
33	354	4860
34	358	4764
35	362	4676
36	366	4589
37	370	4506
38	375	4432
39	379	4360
40	383	4295
41	387	4227
42	393	4179
43	397	4118
44	401	4059
45	405	4005
46	409	3950
47	413	3896
48	417	3844
49	422	3799
50	426	3754
51	430	3709
52	434	3666
53	440	3640
54	444	3600
55	449	3561
56	453	3527
57	458	3493
58	462	3456
59	466	3423
60	471	3395
61	475	3362
62	480	3330
63	485	3308
64	489	3277
65	493	3247
66	497	3218
67	503	3195
68	506	3160
69	510	3134
70	515	3112
71	519	3088
72	523	3063
73	527	3038
74	533	3021
75	538	3006
76	543	2984
77	548	2968
78	554	2953
79	558	2931
80	563	2915
81	568	2895
82	572	2874
83	576	2854
84	581	2839
85	585	2819
86	589	2800
87	595	2789
88	600	2772
89	604	2754
90	610	2743
91	614	2727
92	619	2709
93	623	2694
94	628	2681
95	633	2665
96	637	2649
97	643	2638
98	647	2623
99	653	2612
100	659	2606
101	664	2591
102	668	2576
103	674	2568
104	679	2555
105	683	2541
106	689	2531
107	693	2518
108	698	2506
109	705	2500
110	710	2488
111	715	2478
112	721	2471
113	726	2460
114	731	2447
115	736	2439
116	741	2428
117	746	2417
118	753	2411
119	758	2402
120	763	2390
121	768	2382
122	773	2370
123	777	2358
124	783	2350
125	787	2338
126	792	2326
127	797	2319
128	802	2306
129	806	2294
130	810	2283
131	815	2274
132	820	2263
133	824	2251
134	830	2246
135	835	2235
136	839	2223
137	844	2215
138	849	2204
139	853	2193
140	857	2184
141	862	2175
142	867	2165
143	871	2154
144	877	2147
145	881	2137
146	885	2127
147	891	2121
148	896	2111
149	900	2101
150	906	2094
151	911	2085
152	917	2080
153	924	2076
154	928	2067
155	933	2057
156	939	2052
157	944	2043
158	948	2034
159	954	2028
160	960	2021
161	964	2013
162	970	2006
163	975	1998
164	979	1989
165	986	1984
166	991	1976
167	995	1967
168	1001	1961
169	1006	1953
170	1011	1945
171	1017	1939
172	1022	1931
173	1026	1923
174	1034	1921
175	1039	1913
176	1044	1905
177	1049	1898
178	1054	1890
179	1059	1882
180	1065	1877
181	1069	1869
182	1074	1861
183	1081	1856
184	1085	1848
185	1090	1840
186	1096	1835
187	1101	1827
188	1105	1819
189	1111	1813
190	1116	1805
191	1120	1797
192	1126	1792
193	1132	1785
194	1137	1779
195	1142	1772
196	1148	1766
197	1153	1758
198	1159	1753
199	1164	1746
200	1168	1738
201	1174	1732
202	1179	1725
203	1183	1717
204	1189	1712
205	1194	1704
206	1199	1697
207	1205	1692
208	1209	1684
209	1214	1677
210	1220	1672
211	1225	1665
212	1230	1658
213	1236	1652
214	1241	1645
215	1246	1638
216	1251	1632
217	1256	1625
218	1261	1618
219	1267	1612
220	1271	1605
221	1277	1599
222	1283	1593
223	1287	1586
224	1292	1579
225	1297	1573
226	1302	1566
227	1306	1559
228	1312	1552
229	1316	1545
230	1321	1538
231	1325	1531
232	1330	1524
233	1335	1517
234	1339	1510
235	1344	1504
236	1349	1498
237	1354	1490
238	1359	1484
239	1364	1478
240	1368	1471
241	1373	1464
242	1378	1458
243	1383	1451
244	1388	1445
245	1392	1438
246	1397	1431
247	1401	1424
248	1407	1418
249	1411	1411
250	1416	1404
251	1421	1398
252	1425	1391
253	1430	1385
254	1435	1379
255	1440	1372
256	1444	1365
257	1448	1359
258	1454	1353
259	1458	1346
260	1463	1339
261	1468	1333
262	1473	1327
263	1477	1320
264	1482	1314
265	1487	1308
266	1491	1301
267	1495	1294
268	1500	1288
269	1504	1281
270	1509	1275
271	1514	1269
272	1518	1262
273	1523	1256
274	1527	1249
275	1532	1243
276	1537	1237
277	1541	1231
278	1547	1225
279	1553	1220
280	1557	1213
281	1562	1207
282	1566	1201
283	1571	1194
284	1575	1188
285	1580	1182
286	1584	1176
287	1589	1169
288	1594	1163
289	1598	1157
290	1602	1151
291	1607	1145
292	1612	1138
293	1616	1132
294	1620	1126
295	1625	1120
296	1630	1114
297	1634	1108
298	1639	1102
299	1644	1096
300	1648	1090
301	1655	1085
302	1659	1079
303	1664	1072
304	1668	1066
305	1673	1060
306	1677	1054
307	1683	1049
308	1688	1043
309	1692	1037
310	1697	1031
311	1702	1026
312	1707	1020
313	1712	1014
314	1717	1008
315	1721	1002
316	1726	996
317	1731	990
318	1736	985
319	1741	979
320	1746	973
321	1752	968
322	1756	962
323	1761	956
324	1766	951
325	1771	945
326	1775	939
327	1782	934
328	1787	928
329	1791	923
330	1797	917
331	1802	912
332	1807	906
333	1812	900
334	1817	895
335	1822	889
336	1827	883
337	1831	877
338	1836	872
339	1841	866
340	1846	860
341	1851	855
342	1855	849
343	1861	844
344	1866	838
345	1870	832
346	1875	827
347	1880	821
348	1885	815
349	1890	810
350	1895	804
351	1900	798
352	1905	793
353	1910	787
354	1914	782
355	1919	776
356	1924	770
357	1929	765
358	1934	759
359	1939	754
360	1944	748
361	1949	743
362	1955	737
363	1959	732
364	1963	726
365	1968	720
366	1973	715
367	1977	709
368	1982	703
369	1987	698
370	1991	692
371	1996	686
372	2001	681
373	2006	675
374	2010	670
375	2016	664
376	2020	659
377	2025	653
378	2029	648
379	2034	642
380	2039	636
381	2043	631
382	2048	625
383	2053	620
384	2058	614
385	2062	609
386	2067	603
387	2071	598
